,OldIndex,IssueDate,PermitNo.,Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
307,27894,8/1/2017,17-B-01807,2,0010A00077000000,"2323 LIBERTY AVE, PITTSBURGH, PA 15222",IRON WORKERS JOINT APPRENTICESHIP AND JOURNEYMAN,MASCARO CONSTRUCTION COMPANY LP,"BUILD NEW 1,310 SQ FT AND 387 SQ FT 2 STORY ADDITIONS ON WESTERLY SIDE AND 4,575 SQ FT 2ND FLOOR ADDITION ON EXISTING 1 STORY STRUCTURE",2000000.0,,,
308,27898,8/1/2017,17-B-03607,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,STRINGERT INC,REPLACEMENT ROOF FOR FOUR-STORY STRUCTURE,204984.0,,,
309,28072,9/1/2017,17-B-02303,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,LANDAU BUILDING CO,INTERIOR RENOVATIONS TO 2650 SF OF GROUND FLOOR IN SEVEN-STORY HOSPITAL STRUCTURE,166111.0,,,
310,28145,9/1/2017,17-S-00438,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,FIRE FIGHTER SALES & SERVICE,REPLACE/RELOCATE EXISITING SPRINKLER HEADS RELATED 17-B-03216,2823.0,,,
311,28493,9/1/2017,17-B-00966,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SHANNON CONSTRUCTION,INTERIOR RENOVATIONS TO 4462 FT SQ ON 3RD FLOOR IN A MULTI STORY STRUCTURE,38000.0,,,
312,28494,9/1/2017,17-B-01354,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,,INTERIOR RENOVATIONS TO 4132 FT SQ ON 3RD FLOOR IN A 6 STORY STRUCTURE,49000.0,,,
313,28495,9/1/2017,17-B-01354,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SHANNON CONSTRUCTION,INTERIOR RENOVATIONS TO 4132 FT SQ ON 3RD FLOOR IN A 6 STORY STRUCTURE,49000.0,,,
314,28577,9/1/2017,17-S-00426,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PREFERRED FIRE PROTECTION INC,RELOCATE (5) SPRINKLER HEADS ON LEVEL 01 (RELATED TO 17-B-02890),875.0,,,
315,28667,9/1/2017,17-E-02492,2,0010A00077000000,"2323 LIBERTY AVE, PITTSBURGH, PA 15222",IRON WORKERS JOINT APPRENTICESHIP AND JOURNEYMAN,FERRY ELECTRIC CO,POWER AND LIGHTING RELATED TO 17-B-01807,300000.0,,,
316,28668,9/1/2017,17-F-00373,2,0010A00077000000,"2323 LIBERTY AVE, PITTSBURGH, PA 15222",IRON WORKERS JOINT APPRENTICESHIP AND JOURNEYMAN,FERRY ELECTRIC CO,INSTALLATION OF ADDRESSABLE FIRE ALARM SYSTEM RELATED TO 17-B-01807,30000.0,,,
317,28814,9/1/2017,17-M-00898,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,GUNNING MECHANICAL,"INTERIOR DUCTWORK, PIPING AND EQUIPMENT RELATED TO 17-B-02303 - ENERGY INSPECTION NOT REQUIRED",17400.0,,,
318,28914,9/1/2017,17-M-00550,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,SSM INDUSTRIES INC,"HVAC RELATED TO 17-B-01224. MINOR RENOVATIONS OF REHAB, BREAK ROOM, RESTROOM, OFFICES IN MAIN WING.",47400.0,,,
319,28923,9/1/2017,17-B-03216,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,RADELET MCCARTHY INC.,RENOVATE EXISTING VAULT C TO ACCOMODATE NEW MEDICAL EQUIPMENT AND UPDATE FINISHES,57000.0,,,
320,28924,9/1/2017,17-B-03216,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,"RYCON CONSTRUCTION, INC",RENOVATE EXISTING VAULT C TO ACCOMODATE NEW MEDICAL EQUIPMENT AND UPDATE FINISHES,57000.0,,,
321,28936,9/1/2017,17-M-01256,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,RUTHRAUFF SAUER,"REMOVE EXISTING AND REINSTALL NEW MEDICAL CHILLER, CABINET, PIPING, DUCT, ETC. (RELATED TO 17-B-02399, LEVEL 01 CT SCANS)",65000.0,,,
322,28937,9/1/2017,17-OCC-00751,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,"MBM CONTRACTING, INC",OCCUPANCY ONLY,73000.0,,,
323,29203,10/2/2017,17-B-03255,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,"INTEGRITY DESIGN, LLC",INTERIOR RENOVATIONS TO FIRST AND SECOND FLOORS AND EXTERIOR RENOVATIONS TO REMOVE ATM MACHINE AND FILL WITH IN-KIND BRICK FOR EXISTING FOUR-STORY STRUCTURE (BUILDING FOOTPRINT TO REMAIN THE SAME) BIN # 1,264200.0,,,
324,29212,10/2/2017,17-B-03255,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO FIRST AND SECOND FLOORS AND EXTERIOR RENOVATIONS TO REMOVE ATM MACHINE AND FILL WITH IN-KIND BRICK FOR EXISTING FOUR-STORY STRUCTURE (BUILDING FOOTPRINT TO REMAIN THE SAME) BIN # 1,264200.0,,,
325,29275,10/2/2017,17-M-01390,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MCKAMISH,HVAC SYSTEM ALTERATIONS/NEW EQUIPMENT ASSOICATED WITH 17-B-03255,25680.0,,,
326,29321,10/2/2017,17-B-03303,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING 17-B-01104) INTERIOR RENOVATIONS TO FLOORS 3 THROUGH 8, FLOOR 11, AND FLOOR 15 IN 34 STORY STRUCTURE",2160767.0,,,
329,29337,10/2/2017,17-OCC-00831,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,,TEMP OCC,0.0,,,
330,29453,10/2/2017,17-E-02784,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,HATZEL & BUEHLER INC,ELECTRIC RELATED TO 17-B-03216,80000.0,,,
331,29536,10/2/2017,17-M-00773,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,HRANEC SHEET METAL,"REPLACEMENT OF DUCT, VAVS, DIFFUSERS, AND EXHAUSTS - RELATED TO 17-B-01975",225000.0,,,
334,29672,10/2/2017,17-B-03749,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING 17-B-01975) INTERIOR RENOVATIONS TO FLOORS 10, 13, 21, 26, 27, 28, AND 29 IN 34-STORY STRUCTURE",316603.81,,,
337,29985,10/2/2017,17-F-00402,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,WELLINGTON POWER CORP,"RELATED 17-B-01225, DWGS IN BIN 4",3500.0,,,
338,30382,11/1/2017,17-B-04100,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SHANNON CONSTRUCTION,"INTERIOR WORK FOR TENANT FIT OUT FOR UNIT C AND C1. EXTERIOR DOORS, AND BUILD AN EXTERIOR RAMP AT NORTHWESTERLY CORNER OF STRUCTURE",255000.0,,,
339,30386,11/1/2017,17-E-03213,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SARGENT ELECTRIC CO.,NEW FIXTURES AND OUTLETS RELATED TO PERMIT 17-B-01354,36621.0,,,
340,30423,11/1/2017,17-S-00559,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,ALLIANCE FIRE SYSTEMS INC,"RELATED 17-B-01354 & 17-B-00966, REPLACE UPRIGHT HEADS WITH PENDENT HEADS",6000.0,,,
341,30571,11/1/2017,17-F-00255,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219",URBAN REDEVELOPMENT AUTH OF PITTSBURGH,CLISTA ELECTRIC INC,RELATED TO 17-B-01430,11820.0,,,
342,30572,11/1/2017,17-E-01420,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219",URBAN REDEVELOPMENT AUTH OF PITTSBURGH,CLISTA ELECTRIC INC,ELECTRIC FOR NEW CONSTRUCTION,3350000.0,,,
343,30915,11/1/2017,17-S-00573,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,ALLIANCE FIRE SYSTEMS INC,MODIFY SPRINKLER SYSTEM FOR NEW KITCHEN ON LEVEL C RELATED TO 17-B-04100,14000.0,,,
344,30965,11/1/2017,17-F-00473,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SARGENT ELECTRIC CO.,ADD/MODIFY FIRE ALARM DEVICES,5100.0,,,
345,31040,11/1/2017,17-B-04618,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,MASCARO CONSTRUCTION COMPANY LP,(AMENDING PERMIT 12-B-01484) RENOVATION OF FORMER CONNELLY SCHOOL FOR CORE AND SHELL FOR FUTURE TENANT FIT -OUT,8528417.0,,,
346,31097,11/1/2017,17-E-03064,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,HATZEL & BUEHLER INC,AMENDING 17-E-02350 REALATED TO 17-B-03749,2150000.0,,,
350,31172,11/1/2017,17-S-00546,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219",URBAN REDEVELOPMENT AUTH OF PITTSBURGH,JOHNSON CONTROLS FIRE PROTECTION LP,NEW CONSTRUCTION,120000.0,,,
351,31364,12/1/2017,17-F-00550,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SARGENT ELECTRIC CO.,"RELATED 17-B-04100, FIRE ALARM FOR KITCHEN",15300.0,,,
352,31373,12/1/2017,17-M-01809,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,GUNNING MECHANICAL,NEW SUPPLY AND EXHAUST DUCT IN 30TH FLOOR RESTROOMS (RELATED TO 17-B-03208),9200.0,,,
353,31463,12/1/2017,17-M-01708,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,K & I SHEET METAL INC,ONE OXFORD CENTER...(5) COOKING HOODS SERVICING THE FOOD COURT ON LOWER ATRIUM LEVEL... RELATED TO 17-B-03706.,209000.0,,,
354,31465,12/1/2017,17-M-01406,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,K & I SHEET METAL INC,ONE OXFORD CENTER...LOWER LEVEL FOOD COURT HVAC RENOVATIONS...RELATED TO 17-B-03706,165000.0,,,
355,31547,12/1/2017,17-E-03546,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PRECISION ELECTRICAL,"INSTALL DISCONNECTS, FIXTURES & OUTLETS",39800.0,,,
357,31548,12/1/2017,17-F-00571,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PRECISION ELECTRICAL,REPLACE FIRE ALARM DEVICES IN X-RAY ROOMS,400.0,,,
359,31588,12/1/2017,17-M-01750,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,"ENVIRONMENTAL AIR, INC.",(2) TYPE 1 COOKING HOODS LOCATED ON LEVEL C.,72330.0,,,
360,31624,12/1/2017,17-M-01867,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MCKAMISH,AMENDING PERMIT 17-M-01390-HVAC SYSTEM ALTERATIONS/NEW EQUIPMENT ASSOICATED WITH 17-B-04525-ENERGY INSP/COMCHECK-2009 IECC,26660.0,,,
361,31792,12/1/2017,17-S-00611,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,PREFERRED FIRE PROTECTION INC,ADD NEW AND RELOCATE EXISTING SPRINKLER HEADS FOR NEW CEILING LAYOUT (RELATED TO 17-B-04041),6450.0,,,
362,31797,12/1/2017,17-B-04525,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,MASCARO CONSTRUCTION COMPANY LP,(AMENDED 17-B-03255) INTERIOR RENOVATIONS TO FIRST AND SECOND FLOORS AND EXTERIOR RENOVATIONS TO EXTERIOR DEMOLITION OF ATM MACHINE AND CANOPY AND ISLAND AND BOLLARD AND FILL WITH IN-KIND BRICK FOR EXISTING FOUR-STORY STRUCTURE (BUILDING FOOTPRINT TO REMAIN THE SAME),302376.0,,,
363,31798,12/1/2017,17-B-04525,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,"INTEGRITY DESIGN, LLC",(AMENDED 17-B-03255) INTERIOR RENOVATIONS TO FIRST AND SECOND FLOORS AND EXTERIOR RENOVATIONS TO EXTERIOR DEMOLITION OF ATM MACHINE AND CANOPY AND ISLAND AND BOLLARD AND FILL WITH IN-KIND BRICK FOR EXISTING FOUR-STORY STRUCTURE (BUILDING FOOTPRINT TO REMAIN THE SAME),302376.0,,,
364,31799,12/1/2017,17-S-00608,21,0022J00138000000,"1650 METROPOLITAN ST, PITTSBURGH, PA 15233",UPMC PRESBYTERIAN SHADYSIDE,PREFERRED FIRE PROTECTION INC,ADD AND RELOCATE SPRINKLER HEADS FOR MODIFIED CEILING LAYOUT (RELATED TO 17-B-03255),11856.0,,,
365,31864,12/1/2017,17-E-03412,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,SARGENT ELECTRIC CO.,ELECTRIC RELATED TO 17-B-04100,59000.0,,,
366,31874,12/1/2017,17-M-01603,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,HUCKSTEIN MECHANICAL SERVICES,HVAC ALTERATIONS IN FIRST FLOOR CONVESTRO CONFERENCE ROOM,59800.0,,,
367,31934,12/1/2017,17-M-01273,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,HRANEC SHEET METAL,AMENDING PERMIT 17-M-00536/NEW HVAC SYSTEMS/DUCT WORK ASSOICATED WITH 17-B-03303,2500.0,,,
370,32234,12/1/2017,17-B-04827,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,"MBM CONTRACTING, INC",INTERIOR RENOVATIONS TO LEVEL 2 (EMERGENCY DEPARTMENT) IN EXISTING HOSPITAL,32000.0,,,
372,32251,1/2/2018,17-B-05055,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,P.J. DICK INCORPORATED,INTERIOR RENOVATIONS TO (482 SQ. FT.) 41ST FLOOR ONLY AT A 46- STORY COMMERCIAL STRUCTURE,79535.0,,,
373,32252,1/2/2018,17-B-04840,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,P.J. DICK INCORPORATED,INTERIOR RENOVATIONS TO 1777 SQ FT ON 36TH FLOOR COMMON AREAS LIMITED RECONFIGURING OF WALLS AND DOORS NEW CEILING FLOORING OF 46 STORY STRUCTURE,171389.0,,,
374,32325,1/2/2018,17-M-01439,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,,HVAC (RELATED TO 17-B-03792),3000.0,,,
375,32359,1/2/2018,17-S-00560,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,PFE FIRE AND SAFETY CORPORATION,NEW COOKING SUPPRESSION SYSTEM RELATED TO 17-M-01750 & 17-B-04100,800.0,,,
376,32385,1/2/2018,17-B-04127,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 8500 SQ FT ON LEVEL 02 FOR NEW TREATMENT VAULT & SUPPORT SPACES IN HOSPITAL,395000.0,,,
378,32399,1/2/2018,17-S-00594,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,ADVANCED FIRE COMPANY INC,INSTALL (3) ANSUL SYSTEMS (RELATED TO 17-M-01708),6000.0,,,
379,32569,1/2/2018,17-B-05173,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219",URBAN REDEVELOPMENT AUTH OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,(AMENDING 17-B-01430) USE OF TWO STORY STRUCTURE AS UTILITY (GENERAL) WITH COOLING TOWER AND BOILER FLUE STACKS AND EXTERIOR STAIRWAY ON WESTERLY SIDE AND EXTERIOR DOOR REMOVAL,0.0,,,
380,32589,1/2/2018,18-E-00006,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,M&J ELECTRICAL CONTRACTING INC.,RELATED TO 17-B-04839,30000.0,,,
381,32598,1/2/2018,17-B-04471,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,P.J. DICK INCORPORATED,INTERIOR RENOVATIONS TO PORTION OF SECOND FLOOR IN 46 STORY STRUCTURE,170000.0,,,
382,32599,1/2/2018,18-B-00169,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,P.J. DICK INCORPORATED,INTERIOR NON-STRUCTURAL DEMOLITION TO 10TH FLOOR IN 46 STORY STRUCTURE,18000.0,,,
383,32620,1/2/2018,17-M-01877,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,GUNNING MECHANICAL,"INSTALL FAN COIL UNIT, PIPING, AND DUCTWORK ON FIRST FLOOR SUITE 141",29230.0,,,
384,32627,1/2/2018,17-S-00655,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,JOHNSON CONTROLS FIRE PROTECTION LP,"TWO PNC PLAZA: SPRINKLER RENOVATIONS FLOORS 21, 26, 29...RELATED 17-B-01975",113274.0,,,
386,32670,1/2/2018,17-F-00538,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,SARGENT ELECTRIC CO.,"NEW SMOKE DETECTORS, STROBES, AND MONITORS RELATED TO 17-B-03792",5000.0,,,
387,32742,1/2/2018,17-S-00610,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,FIRE FIGHTER SALES & SERVICE,RELOCATE SPRINKLER HEADS,1330.0,,,
388,32841,1/2/2018,17-M-01553,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MCKAMISH,HVAC RELATED TO 17-B-04127,34971.0,,,
390,32856,1/2/2018,17-M-01818,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,LIMBACH COMPANY,HVAC ALTERATIONS ON 3RD FLOOR RELATED TO 17-B-00966-ENERGY INSP REQUIRED-COMCHECK 2009 IECC,237950.0,,,
391,32857,1/2/2018,17-M-01815,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,LIMBACH COMPANY,HVAC ALTERATIONS ON 3RD FLOOR RELATED TO 17-B-01354-ENERGY INSP REQUIRED-COMCHECK-2009 IECC,54230.0,,,
392,32913,1/2/2018,17-B-04839,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,"MBM CONTRACTING, INC",INTERIOR RENOVATIONS TO 2632 SQ FT ON 11TH FLOOR NON LOAD BEARING WALLS DOORS NEW CEILING FLOORING IN 46 STORY STRUCTURE,83000.0,,,
393,32939,1/2/2018,18-S-00023,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,PREFERRED FIRE PROTECTION INC,ADD/RELOCATE FIRE SPRINKLER HEADS ASSOCIATED WITH 17-B-03706,21680.0,,,
394,32953,1/2/2018,18-M-00049,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,MCKAMISH,RELATED TO 17-B-04839,4573.0,,,
395,33096,2/1/2018,18-S-00117,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,PREFERRED FIRE PROTECTION INC,RELOCATE (26) SPRINKLER HEADS ON 36TH FLOOR RELATED TO 17-B-04840,3900.0,,,
396,33129,2/1/2018,17-M-01817,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,LIMBACH COMPANY,HVAC ALTERATIONS ON LEVEL C GROUND FLOOR RELATED TO 17-B-04100,173970.0,,,
397,33131,2/1/2018,18-E-00295,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,WINDY HILL CONTROL SYSTEMS,ELECTRICAL SIGN RELATED 17-SGN-00224,500.0,,,
398,33250,2/1/2018,17-B-04168,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,"MBM CONTRACTING, INC","INTERIOR RENOVATIONS TO 2,000 SQ FT OF FIRST FLOOR IN EXISTING 7 AND 3 STORY STRUCTURE",200000.0,,,
399,33253,2/1/2018,18-F-00051,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,M&J ELECTRICAL CONTRACTING INC.,RELOCATE 3 AUDIBLE DEVICES RELATED TO 17-B-04840,2000.0,,,
400,33262,2/1/2018,18-E-00286,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,M&J ELECTRICAL CONTRACTING INC.,FIXTURES AND OUTLETS RELATED TO 17-B-04840,60000.0,,,
401,33318,2/1/2018,18-F-00087,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,M&J ELECTRICAL CONTRACTING INC.,REMOVE AND REINSTALL (3) FA DEVICES FOR NEW FINISHES (RELATED TO 17-B-05055),1500.0,,,
402,33320,2/1/2018,18-E-00473,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,M&J ELECTRICAL CONTRACTING INC.,OUTLETS AND FIXTURES RELATED TO 17-B-05055,10000.0,,,
403,33326,2/1/2018,18-S-00108,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,PREFERRED FIRE PROTECTION INC,RELOCATE SPRINKLER HEADS RELATED 17-B-05055,950.0,,,
404,33333,2/1/2018,17-F-00382,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,WELLINGTON POWER CORP,REPLACE EXISTING FIRE ALARM WITH NEW IN JAMES STREET GARAGE,50000.0,,,
407,33353,2/1/2018,18-B-00220,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO REPLACE WASHER/STERILIZEERS AND RETURN CONVEYOR IN CENTRAL STERILE DEPT ON 2ND FLOOR OF HOSPITAL,90000.0,,,
410,33561,2/1/2018,18-S-00030,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,ADVANCED FIRE COMPANY INC,RELATED TO 17-S-00594,3500.0,,,
411,33664,2/1/2018,18-M-00048,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MCKAMISH,RELATED TO 17-B-04827,4947.0,,,
414,33683,2/1/2018,18-M-00155,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,K & I SHEET METAL INC,RELOCATE GRD'S,5776.0,,,
415,33702,2/1/2018,18-M-00026,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,RUTHRAUFF SAUER,HVAC TENANT IMPROVEMENT ON FIRST FLOOR - EVEREST TENANT - RELATED TO 16-B-00223,20100.0,,,
416,33704,2/1/2018,18-M-00025,3,0009R00194000000,"1435 BEDFORD AVE, PITTSBURGH, PA 15219",ENERGY INNOVATION CENTER LP,RUTHRAUFF SAUER,HVAC TENANT IMPROVEMENT FOR FIRST FLOOR STUDENT CONSERVATION ASSOCIATION RELATED TO 16-B-00726,20600.0,,,
417,33738,2/1/2018,18-B-00131,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO ER ROOMS ON 2ND AND 3RD FLOORS OF SNYDER PAVILLION IN HOSPITAL,385000.0,,,
420,33779,3/1/2018,18-M-00118,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,GUNNING MECHANICAL,ADD/RELOCATE HVAC EQUIPMENT AND DUCT RELATED 18-B-00294,122000.0,,,
421,33808,3/1/2018,18-S-00085,3,0002G00092000000,"1339 OUR WAY, PITTSBURGH, PA 15219",URBAN REDEVELOPMENT AUTH OF PITTSBURGH,WAYNE CROUSE INC,"INSTALL 4"" UNDERGROUND FIRE MAIN ASSOCIATED WITH 17-B-05173",3400.0,,,
422,33823,3/1/2018,18-B-00215,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASSARO CORPORATION,INTERIOR DEMOLITION ON LEVEL 01 IN HOSPITAL,20000.0,,,
425,33848,3/1/2018,18-M-00337,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,K & I SHEET METAL INC,"HVAC REPLACEMENT AND/OR RELOCATION OF GRILLS, REGISTERS, & DIFFUSERS.",1977.0,,,
